Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,PurchasingLink2,MPN2
22,Resistor,R,R24,4.99k,R_0805_OEM,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,Value,P4.99KDACT-ND,Digi-Key,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB4991V/P4.99KDACT-ND/3075161,,
23,Resistor,R,R27 R28,60.4,R_0805_OEM,2,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Value,P60.4CCT-ND,Digi-Key,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF60R4V/P60.4CCT-ND/118605,,
24,Res 100 1%,R_100,R5,R_100,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,,
25,Res 100k 1%,R_100k,R20 R21,R_100k,R_0805_OEM,2,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-100KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-100KCRCT-ND,,
26,Res 10k 1%,R_10k,R10,R_10k,D_0805_OEM,1,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,
27,Res 10k 1%,R_10k,R4 R6 R8,R_10k,R_0805_OEM,3,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,
28,Res 1k 1%,R_1k,R1 R26,R_1k,R_0805_OEM,2,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,,
29,Res 200 5%,R_200,R2 R3 R9 R15 R18 R19 R23,R_200,R_0805_OEM,7,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,,
30,Res 55.1k 1%,R_55.1k,R7,R_55.1k,R_0805_OEM,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND,,
31,,T_LAN_7490100111A,T1,T_LAN_7490100111A,7490100111A,1,http://katalog.we-online.de/pbs/datasheet/7490100111A.pdf,Value,732-5711-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/wurth-electronics-inc/7490100111A/732-5711-1-ND/4969381,,
