Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchasing Link,Webpage
11,RES SMD 178K OHM 0.1% 1/8W 0805,R_178k,R7,R_178k,R_0805_OEM,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,,P178KDATR-ND,Digikey,,,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB1783V/P178KDACT-ND/3074993
12,Res 1k 1%,R_1k,R2 R8 R9,R_1k,R_0805_OEM,3,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,,
13,RES SMD 270K OHM 0.1% 1/8W 0805,R_270k,R3 R4 R6,R_270k,R_0805_OEM,3,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,,P270KDACT-ND,DigiKey,,,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB274V/P270KDACT-ND/1466005
14,Res 3k 1% 0805 1/8W,R_3k,R1,R_3k,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805FT3K00CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT3K00/RMCF0805FT3K00CT-ND/2418389,,
15,Res 499 1%,R_499,R10,R_499,R_0805_OEM,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,RC0805FR-07499RL,Digi-Key,https://www.digikey.com/product-detail/en/yageo/RC0805FR-07499RL/311-499CRCT-ND/730933,,
16,Linear Voltage Regulators 450V Adj 3 Termnl,LR8K4-G,U1,LR8K4-G,TO-252-3_TabPin2,1,http://ww1.microchip.com/downloads/en/DeviceDoc/20005399B.pdf,,689-LR8K4-G,Mouser,,,https://www.mouser.com/productdetail/?qs=jWmFlM7coATgElKtQd9PRA%3D%3D
17,"DC Optocoupler, Vce 80V, CTR 50%, SO-4",LTV-356T,U4,LTV-356T,SO-4_4.4x3.6mm_Pitch2.54mm,1,http://optoelectronics.liteon.com/upload/download/DS70-2001-010/S_110_LTV-356T%2020140520.pdf,,,,,,
18,IC OPAMP GP 1MHZ RRO SOT23-5  1.8-6V,MCP6001RT,U3,MCP6001RT,SOT-23-5_OEM,1,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,Value,MCP6001RT-I/OTCT-ND,Digi-Key,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001RT-I-OT/MCP6001RT-I-OTCT-ND/669498,,





Component Groups:,18
Component Count:,24
Fitted Components:,24
Number of PCBs:,1
Total components:,24
Schematic Version:,
Schematic Date:,
BoM Date:,4/23/2018 9:06:54 PM
Schematic Source:,C:/Users/ugupta/Documents/GitHub/MK_III-Boards/boards/TSAL/TSAL v2/TSAL v2.sch
KiCad Version:,Eeschema 4.0.7
