Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink
11,"TQFP32, 16k Flash, 1k SRAM, 512B EEPROM, CAN",ATMEGA16M1,IC1,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1,http://www.atmel.com/Images/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf,Value,ATMEGA16M1-AU-ND,Digi-Key,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208
12,,NanoFit_2,J4,NanoFit_2,OLIN_O,1,,,,,
13,connector micromatch female RA 6,micromatch_female_RA_6,J3,micromatch_female_RA_6,micromatch_female_ra_6,1,,Value,A99483CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/338070-6/A99483CT-ND/1955785
14,connector micromatch male 10,micromatch_male_10,J1,micromatch_male_10,micromatch_female_ra_10,1,,Value,A110881CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/1-215464-0/A110881CT-ND/4142265
15,connector micromatch male 14,micromatch_male_14,J2,micromatch_male_14,micromatch_female_ra_14,1,,Value,A99442CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/8-215464-4/A99442CT-ND/1955744
16,Inductor 4.7uH 4.4A,L_4.7uH,L1,L_4.7uH,4.7uH_Inductor_OEM,1,https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf,Value,445-6583-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893
17,"Connector, double row, 02x03",CONN_02X03,P1 P2,CONN_02X03,Pin_Header_Straight_2x03,2,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491
18,Res 0 2512 3W Jumper,R_0_Jumper,R6,R_0_Jumper,R_2512,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English,Value,A121322CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=A121322CT-ND
19,Res 100 1%,R_100,R2,R_100,R_0805,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND
20,Res 100k 1%,R_100k,R14 R15,R_100k,R_0805_OEM,2,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-100KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-100KCRCT-ND
21,Res 10k 1%,R_10k,R3 R4 R12,R_10k,R_0805,3,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND
22,Res 10k 1%,R_10k,R13,R_10k,R_0805_OEM,1,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND
23,Res 1k 1%,R_1k,R1,R_1k,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND
24,Res 200 5%,R_200,R8 R9 R10 R11 R16 R17,R_200,R_0805_OEM,6,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND
25,Res 200 5%,R_200,R7,R_200,R_0805,1,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND
26,Res 55.1k 1%,R_55.1k,R5,R_55.1k,R_0805,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND
27,"TQFP32, 16k Flash, 1kB SRAM, 512B EEPROM",ATMEGA328P-AU,U3,ATMEGA328P-AU,TQFP-32_7x7mm_Pitch0.8mm,1,http://www.atmel.com/images/atmel-8271-8-bit-avr-microcontroller-atmega48a-48pa-88a-88pa-168a-168pa-328-328p_datasheet.pdf,,,,
28,"High-Speed CAN Transceiver, 1Mbps, 5V supply, SPLIT pin, -40C to +125C, SOIC8 package",CAN_Transceiver,U1,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn
29,4.5V - 17V Input 1A Synchronous Buck Converter,TPS561201,U2,TPS561201,SOT-23-6,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND
30,"Two pin crystal, two ground/package pins (pin2 and 3) small symbol",Crystal_SMD,Y1 Y2,Crystal_SMD,Crystal_SMD_FA238,2,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND





Component Groups:,30
Component Count:,51
Fitted Components:,51
Number of PCBs:,1
Total components:,51
Schematic Version:,
Schematic Date:,
BoM Date:,Wed 21 Feb 2018 10:09:42 PM EST
Schematic Source:,/home/lanfenson/MK_III-Boards-master/boards/dashboard/dashboard_rev2/dashboard_rev2.sch
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1
